language,bpe_byte_16k,bpe_gconstr_16k,o200k
amh_Ethi,2.6661858049624927,2.662954414310444,8.960761684939412
ary_Arab,2.21012711199456,2.212062562117487,2.0844797823926347
arz_Arab,2.151397077672392,2.147193027428864,1.9365290951038194
eng_Latn,1.9703209899091365,1.969362129583124,1.227021597187343
grn_Latn,2.4031843862352336,2.399589111453518,2.7269873880043374
hau_Latn,1.6797980601049451,1.6794800445221816,1.6560661472412148
hun_Latn,2.632481829841813,2.6299166310389057,2.5763681060282173
ory_Orya,2.3467889908256883,2.6085626911314983,6.8277777777777775
quy_Latn,2.4243241548014804,2.4240105375399863,3.083861255723515
swh_Latn,1.961767883143112,1.9606876144849936,1.8751585176835281
ukr_Cyrl,2.684635837547573,2.7028309264376205,2.4505500234607163
zho_Hans,19.908168197196712,19.806186563557276,16.21797970033833
