language,bpe_byte_8k,bpe_gconstr_8k,o200k
amh_Ethi,0.18799769186381995,0.1879399884593191,0.002423542989036353
ary_Arab,0.30318564628341266,0.3037610503740127,0.3632369095569388
arz_Arab,0.30910023071007436,0.3089976928992566,0.4319405280697257
eng_Latn,0.44294781060225563,0.4433587507419752,0.8318341628236153
grn_Latn,0.2862523540489642,0.288249728927695,0.27209952633681445
hau_Latn,0.5294561933534743,0.5300922245190014,0.565034186675147
hun_Latn,0.30092988456605385,0.30338820008550665,0.3391406584010261
ory_Orya,0.2893476044852192,0.24123343527013252,0.009836901121304791
quy_Latn,0.21739948566769116,0.21915574233205795,0.127830395784984
swh_Latn,0.4044431919590437,0.40613404725001173,0.48865717908975626
ukr_Cyrl,0.2712580157447474,0.27313487305145717,0.3217767582503519
zho_Hans,,,
