language,bpe_byte_8k,bpe_gconstr_8k,o200k
amh_Ethi,3.0912290825158686,3.0783035199076747,8.960761684939412
ary_Arab,2.468222001360046,2.472877543547628,2.0844797823926347
arz_Arab,2.4207126377851833,2.4250704947449373,1.9365290951038194
eng_Latn,2.243139582667458,2.2394867814255055,1.227021597187343
grn_Latn,2.7076413856074875,2.703989042972094,2.7269873880043374
hau_Latn,1.8772062331054222,1.8770472253140404,1.6560661472412148
hun_Latn,3.0188648995297136,3.0113296280461737,2.5763681060282173
ory_Orya,2.7540774719673804,2.915953109072375,6.8277777777777775
quy_Latn,2.7114093959731544,2.7077087122875243,3.083861255723515
swh_Latn,2.2465360950636417,2.2428725752665444,1.8751585176835281
ukr_Cyrl,3.077733173452896,3.080444189562588,2.4505500234607163
zho_Hans,23.292895118414695,23.166747220879653,16.21797970033833
