language,bpe_byte_16k,bpe_gconstr_16k,o200k
amh_Ethi,1.5328644086137864,1.5347244794036707,0.4560886084100715
ary_Arab,2.2593784762490827,2.2574016269390844,2.395568270220081
arz_Arab,2.268188642375426,2.272629593371696,2.519855977973102
eng_Latn,2.574179644048943,2.575432983237115,4.1335541249581365
grn_Latn,2.7601814252808055,2.7643169710806696,2.4324369572041435
hau_Latn,2.74337979506354,2.7438992638879025,2.7826932309169465
hun_Latn,2.4542520148602285,2.456645871857918,2.507706029994399
ory_Orya,2.5311441230127705,2.277139507620164,0.8699845477415069
quy_Latn,3.2626322734211275,3.263054391140092,2.564861896432494
swh_Latn,2.821274660026815,2.822829081327105,2.9515830077146576
ukr_Cyrl,2.257991222278324,2.242790733560944,2.4736830908007827
zho_Hans,1.0249817916970139,1.03025940115669,1.2582029503799732
