vocab_size,metric,byte,gconstr,delta_gconstr_minus_byte,pct_change
8000,fertility,4.3258055897869125,4.326819170252228,0.0010135804653153002,0.023431022136277485
8000,chars_per_token,2.0875239724755414,2.0793568766750763,-0.008167095800465152,-0.39123362932115224
8000,token_premium,1.0187507209206073,1.0246447285256999,0.0058940076050926216,0.5785524843375252
8000,stfr,0.28784056199345553,0.29130422191331334,0.003463659919857809,1.2033258606327206
8000,strr,0.32202891902588693,0.3186768849009478,-0.0033520341249391183,-1.0409109017534102
16000,fertility,3.753265027019595,3.766903021133825,0.013637994114230167,0.36336347196509783
16000,chars_per_token,2.3742040397439887,2.3534269920485875,-0.02077704769540123,-0.8751163483674986
16000,token_premium,1.0164553979730566,1.0266204508744676,0.01016505290141101,1.0000490844636605
16000,stfr,0.2504433609164514,0.25436446969280174,0.003921108776350324,1.5656668885139329
16000,strr,0.39404699063987986,0.3874621259276085,-0.006584864712271377,-1.671086156901854
32000,fertility,3.3144536874319956,3.334620819167805,0.020167131735809196,0.6084602060448303
32000,chars_per_token,2.673911437187353,2.6385399487282686,-0.03537148845908433,-1.3228369484178228
32000,token_premium,1.0265373578395127,1.0410440208399339,0.014506663000421138,1.4131646441930161
32000,stfr,0.22339637422195105,0.22830359579011886,0.004907221568167808,2.1966433364278037
32000,strr,0.47335703243279725,0.4642652488583518,-0.009091783574445456,-1.9207031799482603
