language,bpe_byte_16k,bpe_gconstr_16k,o200k
amh_Ethi,1.0707499073044122,1.0699728733393614,5.7786625981468385
ary_Arab,0.9791203188728217,0.980454893232246,1.48286384103003
arz_Arab,0.9724462365591398,0.9710185249588463,1.4055743683250848
eng_Latn,1.0,1.0,1.0
grn_Latn,0.9758759733036707,0.9748904500243445,1.7781788412160906
hau_Latn,0.9792593622543567,0.979550671210962,1.5502549026904329
hun_Latn,1.1415229885057472,1.1409658946001715,1.7939567595728054
ory_Orya,1.0670189098998888,1.1866175140849968,4.984966323075206
quy_Latn,0.8956942899517983,0.8960144675523406,1.829568712090202
swh_Latn,0.9679273266592511,0.9678653404743688,1.485654746399732
ukr_Cyrl,1.1933166481275492,1.2019892884468248,1.7491162132995943
zho_Hans,0.9545328142380423,0.9501054925691498,1.248651062404644
