language,bpe_byte_32k,bpe_grapheme_32k,o200k
amh_Ethi,2.3485862665897286,2.341604154645124,8.960761684939412
ary_Arab,1.981691688026364,1.9899042736831092,2.0844797823926347
arz_Arab,1.921353499102794,1.9235580620353756,1.9365290951038194
eng_Latn,1.729053467878179,1.7502397150815032,1.227021597187343
grn_Latn,2.1411858699994295,2.1638988757632824,2.7269873880043374
hau_Latn,1.5192796947050407,1.5274288440133565,1.6560661472412148
hun_Latn,2.2937152629328774,2.3159469858914066,2.5763681060282173
ory_Orya,2.056422018348624,2.12579001019368,6.8277777777777775
quy_Latn,2.185912312613686,2.2116289280562,3.083861255723515
swh_Latn,1.7503640035695833,1.76234089521394,1.8751585176835281
ukr_Cyrl,2.3586882852823106,2.3708357228507375,2.4505500234607163
zho_Hans,17.48719188013533,16.91928467858869,16.21797970033833
