language,bpe_byte_8k,bpe_grapheme_8k,o200k
amh_Ethi,0.5493643949151593,0.5953413455581712,0.8785626891622126
ary_Arab,0.24656140722687295,0.27443683439566097,0.14921328013250018
arz_Arab,0.24065994578109115,0.27380435211879467,0.1413745631684846
eng_Latn,0.17015083355385022,0.1882696603470989,0.10471476947121647
grn_Latn,0.18115331113265606,0.19816423213580733,0.18162603327403998
hau_Latn,0.13084725663342014,0.1438458623371961,0.1027364378300528
hun_Latn,0.219617978721521,0.24953169673666567,0.14866518699827833
ory_Orya,0.26895530674562784,0.2757440556182695,0.848127440075843
quy_Latn,0.16091422226334784,0.17137026745397707,0.1460155391937518
swh_Latn,0.14074554159436348,0.15218414242020234,0.09475503456567479
ukr_Cyrl,0.24208083477318157,0.27268841038632047,0.17253850736107565
zho_Hans,0.9030357105803748,0.9154228855721394,0.721770227983907
