vocab_size,language,metric,byte,grapheme,delta
8000,ory_Orya,fertility,2.7540774719673804,2.8444954128440365,0.09041794087665611
8000,ory_Orya,token_premium,1.099904329594724,1.065524944154877,-0.034379385439846866
8000,ory_Orya,stfr,0.26895530674562784,0.2757440556182695,0.006788748872641637
8000,ory_Orya,strr,0.2893476044852192,0.25565749235474006,-0.03369011213047912
8000,amh_Ethi,fertility,3.0912290825158686,3.260069244085401,0.1688401615695323
8000,amh_Ethi,token_premium,1.0904594214993792,1.0786604807453652,-0.011798940754013998
8000,amh_Ethi,stfr,0.5493643949151593,0.5953413455581712,0.04597695064301188
8000,amh_Ethi,strr,0.18799769186381995,0.15804962492787075,-0.029948066935949202
8000,arz_Arab,fertility,2.4207126377851833,2.5963599077159705,0.17564726993078716
8000,arz_Arab,token_premium,0.9611008203228367,0.9668747732783474,0.005773952955510642
8000,arz_Arab,stfr,0.24065994578109115,0.27380435211879467,0.03314440633770352
8000,arz_Arab,strr,0.30910023071007436,0.2759292489105358,-0.03317098179953859
8000,ary_Arab,fertility,2.468222001360046,2.642569440811843,0.17434743945179676
8000,ary_Arab,token_premium,0.9604698027561219,0.9645073219161082,0.004037519159986291
8000,ary_Arab,stfr,0.24656140722687295,0.27443683439566097,0.02787542716878802
8000,ary_Arab,strr,0.30318564628341266,0.27059685097034053,-0.03258879531307213
8000,quy_Latn,fertility,2.7114093959731544,2.8892931066925924,0.17788371071943798
8000,quy_Latn,token_premium,0.8799234636757791,0.8794699963724536,-0.00045346730332551655
8000,quy_Latn,stfr,0.16091422226334784,0.17137026745397707,0.010456045190629232
8000,quy_Latn,strr,0.21739948566769116,0.19394091450793452,-0.023458571159756636
8000,grn_Latn,fertility,2.7076413856074875,2.891057467328654,0.18341608172116652
8000,grn_Latn,token_premium,0.9657825635597533,0.9672184355728659,0.0014358720131125713
8000,grn_Latn,stfr,0.18115331113265606,0.19816423213580733,0.01701092100315127
8000,grn_Latn,strr,0.2862523540489642,0.263425212577755,-0.022827141471209234
16000,ory_Orya,fertility,2.3467889908256883,2.404434250764526,0.057645259938837956
16000,ory_Orya,token_premium,1.0670189098998888,1.0721103586200627,0.005091448720173863
16000,ory_Orya,stfr,0.23414559986100253,0.25098039215686274,0.016834792295860213
16000,ory_Orya,strr,0.3964831804281346,0.38445463812436287,-0.012028542303771705
16000,amh_Ethi,fertility,2.6661858049624927,2.7109636468551646,0.044777841892671866
16000,amh_Ethi,token_premium,1.0707499073044122,1.0677014681150856,-0.003048439189326624
16000,amh_Ethi,stfr,0.44852288713342714,0.4557374257678636,0.00721453863443644
16000,amh_Ethi,strr,0.2589728793998846,0.2439122908251587,-0.01506058857472592
16000,arz_Arab,fertility,2.151397077672392,2.1798513201743144,0.028454242501922522
16000,arz_Arab,token_premium,0.9724462365591398,0.9662742602608972,-0.00617197629824251
16000,arz_Arab,stfr,0.19712603960631986,0.20116186085893034,0.004035821252610483
16000,arz_Arab,strr,0.3890797231479108,0.37938990002563444,-0.009689823122276342
16000,ary_Arab,fertility,2.21012711199456,2.2442851911910866,0.0341580791965268
16000,ary_Arab,token_premium,0.9791203188728217,0.9750465887914186,-0.004073730081403104
16000,ary_Arab,stfr,0.2029301081631204,0.20522561998881222,0.0022955118256918206
16000,ary_Arab,strr,0.369775592404666,0.3607260553434116,-0.009049537061254387
16000,quy_Latn,fertility,2.4243241548014804,2.4691714231951325,0.04484726839365205
16000,quy_Latn,token_premium,0.8956942899517983,0.8946411526748784,-0.0010531372769199132
16000,quy_Latn,stfr,0.1464127706915733,0.14799573235787228,0.001582961666298982
16000,quy_Latn,strr,0.2744778272596124,0.2651947563193878,-0.00928307094022457
16000,grn_Latn,fertility,2.4031843862352336,2.446327683615819,0.04314329738058564
16000,grn_Latn,token_premium,0.9758759733036707,0.9742057179219127,-0.0016702553817580235
16000,grn_Latn,stfr,0.1547101707392368,0.15874682156437353,0.0040366508251367395
16000,grn_Latn,strr,0.34594532899617647,0.3369856759687268,-0.008959653027449666
32000,ory_Orya,fertility,2.056422018348624,2.12579001019368,0.06936799184505604
32000,ory_Orya,token_premium,1.065464244216753,1.0880726286131692,0.022608384396416215
32000,ory_Orya,stfr,0.20085756066126353,0.23930660784501775,0.03844904718375422
32000,ory_Orya,strr,0.481039755351682,0.48634046890927624,0.005300713557594261
32000,amh_Ethi,fertility,2.3485862665897286,2.341604154645124,-0.006982111944604519
32000,amh_Ethi,token_premium,1.0748125066018803,1.0586455181049776,-0.01616698849690268
32000,amh_Ethi,stfr,0.3766000835360311,0.3747658945293248,-0.0018341890067062883
32000,amh_Ethi,strr,0.3392383150605886,0.33958453548759376,0.00034622042700516165
32000,arz_Arab,fertility,1.921353499102794,1.9235580620353756,0.002204562932581533
32000,arz_Arab,token_premium,0.9896482518221189,0.9787905666284045,-0.01085768519371444
32000,arz_Arab,stfr,0.16776070018144945,0.16714198139609265,-0.0006187187853567977
32000,arz_Arab,strr,0.4723404255319149,0.4723404255319149,0.0
32000,ary_Arab,fertility,1.981691688026364,1.9899042736831092,0.008212585656745208
32000,ary_Arab,token_premium,1.000422520333791,0.9924084315976208,-0.008014088736170266
32000,ary_Arab,stfr,0.1731073804244536,0.17352330380379064,0.0004159233793370465
32000,ary_Arab,strr,0.44975676099806455,0.4498090704608464,5.230946278184101e-05
32000,quy_Latn,fertility,2.185912312613686,2.2116289280562,0.025716615442513913
32000,quy_Latn,token_premium,0.9203021020386606,0.9198580820202442,-0.00044402001841636896
32000,quy_Latn,stfr,0.14269727403156385,0.1421724333522405,-0.0005248406793233462
32000,quy_Latn,strr,0.3548265696543938,0.3419682619331368,-0.012858307721257012
32000,grn_Latn,fertility,2.1411858699994295,2.1638988757632824,0.022713005763852934
32000,grn_Latn,token_premium,0.9908101827400444,0.9891996243347595,-0.001610558405284901
32000,grn_Latn,stfr,0.14187100213219617,0.14119943034970198,-0.0006715717824941903
32000,grn_Latn,strr,0.4305198881470068,0.418763910289334,-0.011755977857672795
