language,bpe_byte_16k,bpe_grapheme_16k,o200k
amh_Ethi,0.44852288713342714,0.4557374257678636,0.8785626891622126
ary_Arab,0.2029301081631204,0.20522561998881222,0.14921328013250018
arz_Arab,0.19712603960631986,0.20116186085893034,0.1413745631684846
eng_Latn,0.14733963663329624,0.14985682468978684,0.10471476947121647
grn_Latn,0.1547101707392368,0.15874682156437353,0.18162603327403998
hau_Latn,0.11803961473838653,0.11840417842236575,0.1027364378300528
hun_Latn,0.1896912239387726,0.19299434127679924,0.14866518699827833
ory_Orya,0.23414559986100253,0.25098039215686274,0.848127440075843
quy_Latn,0.1464127706915733,0.14799573235787228,0.1460155391937518
swh_Latn,0.12701110898295345,0.12800790346482252,0.09475503456567479
ukr_Cyrl,0.20724744630442382,0.21141129794067637,0.17253850736107565
zho_Hans,0.8321437242049041,0.8315568390653715,0.721770227983907
