language,bpe_byte_8k,bpe_grapheme_8k,o200k
amh_Ethi,1.3220959101006142,1.2536240862346673,0.4560886084100715
ary_Arab,2.023121754794956,1.8896432954590443,2.395568270220081
arz_Arab,2.0158420874279903,1.879467635559417,2.519855977973102
eng_Latn,2.2610987847822988,2.1207972965232833,4.1335541249581365
grn_Latn,2.449816633646672,2.2943939992104223,2.4324369572041435
hau_Latn,2.4548842724943354,2.312204559506951,2.7826932309169465
hun_Latn,2.1401334773141674,1.9864931479838313,2.507706029994399
ory_Orya,2.156824280558897,2.0882653335483523,0.8699845477415069
quy_Latn,2.9171833071157582,2.7375824939215003,2.564861896432494
swh_Latn,2.46365327925404,2.3103874205944632,2.9515830077146576
ukr_Cyrl,1.969593793407189,1.8409278024065865,2.4736830908007827
zho_Hans,0.8760400888095782,1.0147090633787583,1.2582029503799732
