language,bpe_byte_32k,bpe_grapheme_32k,o200k
amh_Ethi,1.7401538045748262,1.7453425332676196,0.4560886084100715
ary_Arab,2.5198236722626968,2.5094240424804815,2.395568270220081
arz_Arab,2.5397587789518625,2.5368479970148456,2.519855977973102
eng_Latn,2.933373824865322,2.8978660127308777,4.1335541249581365
grn_Latn,3.097921108742004,3.0654042934753942,2.4324369572041435
hau_Latn,3.0332295455140112,3.017046637518218,2.7826932309169465
hun_Latn,2.8167287977632807,2.7896898652390623,2.507706029994399
ory_Orya,2.8885418990259497,2.7942840702023592,0.8699845477415069
quy_Latn,3.6184791965566716,3.5764038570618264,2.564861896432494
swh_Latn,3.1620200177100384,3.1405308885453866,2.9515830077146576
ukr_Cyrl,2.5700234295566067,2.5568554150632217,2.4736830908007827
zho_Hans,1.166883170724966,1.2060503913614808,1.2582029503799732
