language,bpe_byte_16k,bpe_grapheme_16k,o200k
amh_Ethi,1.0707499073044122,1.0677014681150856,5.7786625981468385
ary_Arab,0.9791203188728217,0.9750465887914186,1.48286384103003
arz_Arab,0.9724462365591398,0.9662742602608972,1.4055743683250848
eng_Latn,1.0,1.0,1.0
grn_Latn,0.9758759733036707,0.9742057179219127,1.7781788412160906
hau_Latn,0.9792593622543567,0.9746602427162402,1.5502549026904329
hun_Latn,1.1415229885057472,1.1405845188855053,1.7939567595728054
ory_Orya,1.0670189098998888,1.0721103586200627,4.984966323075206
quy_Latn,0.8956942899517983,0.8946411526748784,1.829568712090202
swh_Latn,0.9679273266592511,0.9661606290623154,1.485654746399732
ukr_Cyrl,1.1933166481275492,1.2028998681878096,1.7491162132995943
zho_Hans,0.9545328142380423,0.8656424707967819,1.248651062404644
