language,bpe_byte_8k,bpe_grapheme_8k,o200k
amh_Ethi,1.0904594214993792,1.0786604807453652,5.7786625981468385
ary_Arab,0.9604698027561219,0.9645073219161082,1.48286384103003
arz_Arab,0.9611008203228367,0.9668747732783474,1.4055743683250848
eng_Latn,1.0,1.0,1.0
grn_Latn,0.9657825635597533,0.9672184355728659,1.7781788412160906
hau_Latn,0.961243308160482,0.9572331366821315,1.5502549026904329
hun_Latn,1.149856494392086,1.1619222177673407,1.7939567595728054
ory_Orya,1.099904329594724,1.065524944154877,4.984966323075206
quy_Latn,0.8799234636757791,0.8794699963724536,1.829568712090202
swh_Latn,0.973619394630244,0.9737862038681101,1.485654746399732
ukr_Cyrl,1.2016610010788364,1.2058728067663287,1.7491162132995943
zho_Hans,0.9809880513770431,0.7943753937797124,1.248651062404644
