language,bpe_byte_16k,bpe_grapheme_16k,o200k
amh_Ethi,2.6661858049624927,2.7109636468551646,8.960761684939412
ary_Arab,2.21012711199456,2.2442851911910866,2.0844797823926347
arz_Arab,2.151397077672392,2.1798513201743144,1.9365290951038194
eng_Latn,1.9703209899091365,2.009132003104881,1.227021597187343
grn_Latn,2.4031843862352336,2.446327683615819,2.7269873880043374
hau_Latn,1.6797980601049451,1.7048417872475752,1.6560661472412148
hun_Latn,2.632481829841813,2.682129115006413,2.5763681060282173
ory_Orya,2.3467889908256883,2.404434250764526,6.8277777777777775
quy_Latn,2.4243241548014804,2.4691714231951325,3.083861255723515
swh_Latn,1.961767883143112,1.9967591940256446,1.8751585176835281
ukr_Cyrl,2.684635837547573,2.7595015901152182,2.4505500234607163
zho_Hans,19.908168197196712,18.409859835669405,16.21797970033833
