language,bpe_byte_8k,bpe_grapheme_8k,o200k
amh_Ethi,0.18799769186381995,0.15804962492787075,0.002423542989036353
ary_Arab,0.30318564628341266,0.27059685097034053,0.3632369095569388
arz_Arab,0.30910023071007436,0.2759292489105358,0.4319405280697257
eng_Latn,0.44294781060225563,0.4088397790055249,0.8318341628236153
grn_Latn,0.2862523540489642,0.263425212577755,0.27209952633681445
hau_Latn,0.5294561933534743,0.48807441564636667,0.565034186675147
hun_Latn,0.30092988456605385,0.28051517742625054,0.3391406584010261
ory_Orya,0.2893476044852192,0.25565749235474006,0.009836901121304791
quy_Latn,0.21739948566769116,0.19394091450793452,0.127830395784984
swh_Latn,0.4044431919590437,0.3638156967732845,0.48865717908975626
ukr_Cyrl,0.2712580157447474,0.25572180803920547,0.3217767582503519
zho_Hans,,,
