vocab_size,metric,byte,grapheme,delta_grapheme_minus_byte,pct_change
8000,fertility,4.3258055897869125,4.213241414041893,-0.11256417574501931,-2.6021552149911615
8000,chars_per_token,2.0875239724755414,1.9773746778606063,-0.11014929461493517,-5.276552320705181
8000,token_premium,1.0187507209206073,1.0012871425753034,-0.017463578345303876,-1.7142150662256894
8000,stfr,0.28784056199345553,0.3092336454233586,0.021393083429903093,7.432268503696673
8000,strr,0.32202891902588693,0.2922332928308917,-0.029795626194995206,-9.252469090392477
16000,fertility,3.753265027019595,3.6681047534137647,-0.08516027360583012,-2.2689651008592504
16000,chars_per_token,2.3742040397439887,2.3391482299602013,-0.03505580978378742,-1.4765289417824214
16000,token_premium,1.0164553979730566,1.0083272730027424,-0.008128124970314232,-0.7996538742892964
16000,stfr,0.2504433609164514,0.25433993646287806,0.0038965755464266394,1.5558709690557728
16000,strr,0.39404699063987986,0.38300967835678984,-0.011037312283090017,-2.8010142306040433
32000,fertility,3.3144536874319956,3.2835384288347007,-0.030915258597294937,-0.9327407021712758
32000,chars_per_token,2.673911437187353,2.6529788336633975,-0.02093260352395543,-0.782845805318598
32000,token_premium,1.0265373578395127,1.0198637343907615,-0.00667362344875122,-0.6501101394689393
32000,stfr,0.22339637422195105,0.22563308434144247,0.0022367101194914196,1.0012293741478457
32000,strr,0.47335703243279725,0.4690674645937246,-0.004289567839072639,-0.9062013544040102
