language,bpe_byte_32k,bpe_gconstr_32k,o200k
amh_Ethi,1.6404020461276136,1.635860459550024,5.7786625981468385
ary_Arab,1.2556462951329683,1.2564923408329345,1.48286384103003
arz_Arab,1.230907296060307,1.2325873623743417,1.4055743683250848
eng_Latn,1.0,1.0,1.0
grn_Latn,1.466241885787789,1.4702010531354714,1.7781788412160906
hau_Latn,1.3338418738221305,1.3348192915270465,1.5502549026904329
hun_Latn,1.312333602560651,1.3121708951651507,1.7939567595728054
ory_Orya,1.8232672230697897,1.8801759214935376,4.984966323075206
quy_Latn,1.345179335307667,1.3456199138343705,1.829568712090202
swh_Latn,1.220168117502767,1.2204703207276208,1.485654746399732
ukr_Cyrl,1.4135929881240838,1.4252333652465294,1.7491162132995943
zho_Hans,0.9587184779682312,0.9514420775490665,1.248651062404644
