vocab_size,language,metric,byte,gconstr,delta
8000,ory_Orya,fertility,5.731345565749235,5.826095820591234,0.0947502548419985
8000,ory_Orya,token_premium,3.096574323952195,3.148200170756562,0.051625846804367104
8000,ory_Orya,stfr,0.575443089756245,0.676348112118137,0.10090502236189192
8000,ory_Orya,strr,0.003669724770642202,0.005657492354740061,0.001987767584097859
8000,amh_Ethi,fertility,5.0545874206578185,5.119215233698788,0.06462781304096943
8000,amh_Ethi,token_premium,2.4121826292889796,2.443361150128067,0.031178520839087565
8000,amh_Ethi,stfr,0.8046029499063884,0.8031696649984219,-0.001433284907966459
8000,amh_Ethi,strr,0.0345066358915176,0.0345066358915176,0.0
8000,arz_Arab,fertility,3.224301461163804,3.2411176621379134,0.016816200974109297
8000,arz_Arab,token_premium,1.7318389601806465,1.741111019306508,0.009272059125861487
8000,arz_Arab,stfr,0.43243758944188265,0.4386725299756398,0.006234940533757172
8000,arz_Arab,strr,0.16575237118687516,0.1671879005383235,0.0014355293514483336
8000,ary_Arab,fertility,3.29303761050374,3.3209185541664485,0.027880943662708546
8000,ary_Arab,token_premium,1.7335738282755961,1.748492109394365,0.014918281118768917
8000,ary_Arab,stfr,0.43481645036773464,0.44441294143590715,0.009596491068172508
8000,ary_Arab,strr,0.1655071402416697,0.16461787937437883,-0.0008892608672908808
8000,quy_Latn,fertility,4.045725396725836,4.045725396725836,0.0
8000,quy_Latn,token_premium,1.7762020157515008,1.7764466110330772,0.00024459528157638744
8000,quy_Latn,stfr,0.23382583215764097,0.2337793212508333,-4.651090680765635e-05
8000,quy_Latn,strr,0.03462334566894562,0.03468606912124443,6.272345229881016e-05
8000,grn_Latn,fertility,4.0276208411801635,4.0276208411801635,0.0
8000,grn_Latn,token_premium,1.9434928677644985,1.9437605001514775,0.00026763238697902203
8000,grn_Latn,stfr,0.3785706189072773,0.3785564497846293,-1.4169122647955668e-05
8000,grn_Latn,strr,0.09906979398504823,0.09912686183872625,5.706785367802503e-05
16000,ory_Orya,fertility,4.229001019367992,4.17670744138634,-0.05229357798165157
16000,ory_Orya,token_premium,2.4693610309216987,2.43947963800905,-0.029881392912648685
16000,ory_Orya,stfr,0.4385402480324925,0.4843008285843289,0.045760580551836405
16000,ory_Orya,strr,0.08302752293577982,0.0928644240570846,0.00983690112130478
16000,amh_Ethi,fertility,3.990075014425851,3.9482977495672245,-0.04177726485862676
16000,amh_Ethi,token_premium,2.0579149430076487,2.0369135508454392,-0.02100139216220942
16000,amh_Ethi,stfr,0.7100566899982645,0.7044311937331931,-0.005625496265071472
16000,amh_Ethi,strr,0.09717253317945759,0.10109636468551644,0.00392383150605885
16000,arz_Arab,fertility,2.6354268136375287,2.6273263265829274,-0.008100487054601313
16000,arz_Arab,token_premium,1.5298354215648344,1.5255417956656347,-0.004293625899199682
16000,arz_Arab,stfr,0.2842385806552019,0.2792998477929985,-0.004938732862203421
16000,arz_Arab,strr,0.2624455267880031,0.268751602153294,0.006306075365290931
16000,ary_Arab,fertility,2.7096301720981324,2.702097609457551,-0.007532562640581553
16000,ary_Arab,token_premium,1.5416207850956816,1.5377470826387234,-0.0038737024569581724
16000,ary_Arab,stfr,0.28976833976833977,0.2853685922254917,-0.004399747542848054
16000,ary_Arab,strr,0.24784223466025004,0.25187006329444994,0.004027828634199898
16000,quy_Latn,fertility,3.4597629053503103,3.4472182148905475,-0.012544690459762808
16000,quy_Latn,token_premium,1.6415880479747627,1.6360740652536319,-0.005513982721130795
16000,quy_Latn,stfr,0.17924545405101616,0.180170672683273,0.0009252186322568356
16000,quy_Latn,strr,0.08448849024650316,0.08530389512638775,0.0008154048798845875
16000,grn_Latn,fertility,3.3640929064657876,3.3438908862637677,-0.020202020202019888
16000,grn_Latn,token_premium,1.7543823100502962,1.7443141224100975,-0.010068187640198678
16000,grn_Latn,stfr,0.29554360548949093,0.2946155815342606,-0.0009280239552303393
16000,grn_Latn,strr,0.17588312503566741,0.18158991040346972,0.005706785367802308
32000,ory_Orya,fertility,3.1065239551478085,3.203007135575943,0.09648318042813431
32000,ory_Orya,token_premium,1.8232672230697897,1.8801759214935376,0.056908698423747905
32000,ory_Orya,stfr,0.30454470877768663,0.34611651257896664,0.041571803801280005
32000,ory_Orya,strr,0.2284913353720693,0.19332313965341488,-0.03516819571865443
32000,amh_Ethi,fertility,3.164281592613964,3.155049047893826,-0.009232544720138236
32000,amh_Ethi,token_premium,1.6404020461276136,1.635860459550024,-0.00454158657758974
