language,bpe_byte_8k,bpe_gconstr_8k,o200k
amh_Ethi,5.0545874206578185,5.119215233698788,8.960761684939412
ary_Arab,3.29303761050374,3.3209185541664485,2.0844797823926347
arz_Arab,3.224301461163804,3.2411176621379134,1.9365290951038194
eng_Latn,1.6580978037532532,1.6578695036756312,1.227021597187343
grn_Latn,4.0276208411801635,4.0276208411801635,2.7269873880043374
hau_Latn,2.492009858483066,2.4916918429003023,1.6560661472412148
hun_Latn,3.5017101325352713,3.5013360410431806,2.5763681060282173
ory_Orya,5.731345565749235,5.826095820591234,6.8277777777777775
quy_Latn,4.045725396725836,4.045725396725836,3.083861255723515
swh_Latn,2.841998966699544,2.841670189281856,1.8751585176835281
ukr_Cyrl,3.931390438454721,3.874980449403055,2.4505500234607163
zho_Hans,23.235862735621073,23.10923151280812,16.21797970033833
