language,bpe_byte_16k,bpe_gconstr_16k,o200k
amh_Ethi,0.09717253317945759,0.10109636468551644,0.002423542989036353
ary_Arab,0.24784223466025004,0.25187006329444994,0.3632369095569388
arz_Arab,0.2624455267880031,0.268751602153294,0.4319405280697257
eng_Latn,0.7064517601935985,0.7064974202091229,0.8318341628236153
grn_Latn,0.17588312503566741,0.18158991040346972,0.27209952633681445
hau_Latn,0.40002385116870726,0.4038400381618699,0.565034186675147
hun_Latn,0.30899957246686616,0.30990808037622913,0.3391406584010261
ory_Orya,0.08302752293577982,0.0928644240570846,0.009836901121304791
quy_Latn,0.08448849024650316,0.08530389512638775,0.127830395784984
swh_Latn,0.3581325442675309,0.36268845991263915,0.48865717908975626
ukr_Cyrl,0.2683905948594964,0.27047599186695165,0.3217767582503519
zho_Hans,,,
