language,bpe_byte_32k,bpe_gconstr_32k,o200k
amh_Ethi,1.2915732078705984,1.2953527077198823,0.4560886084100715
ary_Arab,2.274234663490173,2.2730433126175678,2.395568270220081
arz_Arab,2.3131136385729563,2.3103063255497838,2.519855977973102
eng_Latn,3.322893296239792,3.323390378171374,4.1335541249581365
grn_Latn,2.3713965112720596,2.3653642653642653,2.4324369572041435
hau_Latn,2.5999013209535984,2.5983861929844223,2.7826932309169465
hun_Latn,2.7557328470480966,2.7564868439053307,2.507706029994399
ory_Orya,1.9121246923707957,1.8545263593399424,0.8699845477415069
quy_Latn,2.8043052837573383,2.803806474564212,2.564861896432494
swh_Latn,2.888989678589816,2.8887063957051455,2.9515830077146576
ukr_Cyrl,2.460543857792826,2.4408128135692846,2.4736830908007827
zho_Hans,1.3173265936534682,1.3275997610138046,1.2582029503799732
