language,bpe_byte_16k,bpe_gconstr_16k,o200k
amh_Ethi,3.990075014425851,3.9482977495672245,8.960761684939412
ary_Arab,2.7096301720981324,2.702097609457551,2.0844797823926347
arz_Arab,2.6354268136375287,2.6273263265829274,1.9365290951038194
eng_Latn,1.5342221816355417,1.533811241495822,1.227021597187343
grn_Latn,3.3640929064657876,3.3438908862637677,2.7269873880043374
hau_Latn,2.163301001749086,2.1563046589282875,1.6560661472412148
hun_Latn,2.871312526720821,2.8740380504489096,2.5763681060282173
ory_Orya,4.229001019367992,4.17670744138634,6.8277777777777775
quy_Latn,3.4597629053503103,3.4472182148905475,3.083861255723515
swh_Latn,2.3960828519092576,2.3851392607204924,1.8751585176835281
ukr_Cyrl,3.1125593034773997,3.1104739064699443,2.4505500234607163
zho_Hans,18.236346060898985,18.141614306428227,16.21797970033833
