vocab_size,metric,byte,gconstr,delta_gconstr_minus_byte,pct_change
8000,fertility,5.253140685960627,5.254789420634377,0.0016487346737497077,0.03138569424108633
8000,chars_per_token,1.6331285895370344,1.631519608372315,-0.0016089811647195251,-0.09852140088831862
8000,token_premium,1.8576031282700887,1.8635255721721886,0.00592244390209995,0.31882180924271397
8000,stfr,0.4148461598546669,0.42479427897904604,0.009948119124379151,2.3980260846247865
8000,strr,0.19366137370006972,0.1937915560820537,0.0001301823819839787,0.06722165576786458
16000,fertility,4.225151063144724,4.203909971053337,-0.021241092091387692,-0.5027297669110611
16000,chars_per_token,1.9536608889104572,1.9605702737843298,0.006909384873872604,0.3536634690847458
16000,token_premium,1.6359384145313136,1.628415991902834,-0.007522422628479575,-0.4598230936850213
16000,stfr,0.3268377169571837,0.32936533725526446,0.002527620298080735,0.7733563682957243
16000,strr,0.2720779778001691,0.27589875002245595,0.003820772222286828,1.4042930828797322
32000,fertility,3.4755586697640264,3.4754755743192374,-8.309544478901643e-05,-0.0023908514481977713
32000,chars_per_token,2.359344632634293,2.3531484858754177,-0.006196146758875365,-0.26262152095843433
32000,token_premium,1.3333582617886666,1.338756083453008,0.005397821664341329,0.40482905600331953
32000,stfr,0.2551108139914633,0.2587801360210397,0.0036693220295764273,1.438324770387512
32000,strr,0.38022945300080474,0.37689083057923295,-0.003338622421571791,-0.8780546575819115
