language,bpe_byte_16k,bpe_gconstr_16k,o200k
amh_Ethi,0.7100566899982645,0.7044311937331931,0.8785626891622126
ary_Arab,0.28976833976833977,0.2853685922254917,0.14921328013250018
arz_Arab,0.2842385806552019,0.2792998477929985,0.1413745631684846
eng_Latn,0.14002559447635488,0.13976542033817577,0.10471476947121647
grn_Latn,0.29554360548949093,0.2946155815342606,0.18162603327403998
hau_Latn,0.1741087835354649,0.1736781948233906,0.1027364378300528
hun_Latn,0.210802561048243,0.21205303185258187,0.14866518699827833
ory_Orya,0.4385402480324925,0.4843008285843289,0.848127440075843
quy_Latn,0.17924545405101616,0.180170672683273,0.1460155391937518
swh_Latn,0.1728511222189552,0.1718128470717971,0.09475503456567479
ukr_Cyrl,0.24510066664433353,0.2430860514230163,0.17253850736107565
zho_Hans,0.7817709575680475,0.783801785000666,0.721770227983907
