language,bpe_byte_8k,bpe_gconstr_8k,o200k
amh_Ethi,0.8085529019589935,0.7983452815726588,0.4560886084100715
ary_Arab,1.5163852397820596,1.5036543489903287,2.395568270220081
arz_Arab,1.5134361583717602,1.5055838527001804,2.519855977973102
eng_Latn,3.0589029024618606,3.0593241345121043,4.1335541249581365
grn_Latn,1.646933801858989,1.646933801858989,2.4324369572041435
hau_Latn,1.8492398985467946,1.8494759177422186,2.7826932309169465
hun_Latn,1.845033880715463,1.8452310087458217,2.507706029994399
ory_Orya,1.0364165088173305,1.019561185568814,0.8699845477415069
quy_Latn,1.9550704640238137,1.9550704640238137,2.564861896432494
swh_Latn,1.9474623609710953,1.947687679746124,2.9515830077146576
ukr_Cyrl,1.5419186293231488,1.5643650943142373,2.4736830908007827
zho_Hans,0.8781903276131046,0.8830025306924895,1.2582029503799732
