language,bpe_byte_16k,bpe_parity_16k,o200k
amh_Ethi,2.0579149430076487,0.9813775282901185,5.7786625981468385
ary_Arab,1.5416207850956816,0.9855653568564555,1.48286384103003
arz_Arab,1.5298354215648344,0.9889958121714336,1.4055743683250848
eng_Latn,1.0,1.0,1.0
grn_Latn,1.7545311151453826,0.9822908313285218,1.7781788412160906
hau_Latn,1.6195946549209845,0.9757863316403813,1.5502549026904329
hun_Latn,1.5991488348561054,1.0213401051412279,1.7939567595728054
ory_Orya,2.4621588643195143,1.0038091419406576,4.984966323075206
quy_Latn,1.6415582869557455,0.9648935222311324,1.829568712090202
swh_Latn,1.51834766822416,0.9873251358816716,1.485654746399732
ukr_Cyrl,1.7766137912562125,1.02301078143099,1.7491162132995943
zho_Hans,1.122883247522395,0.971219816448365,1.248651062404644
