language,bpe_byte_8k,bpe_parity_8k,o200k
amh_Ethi,0.0345066358915176,0.21027120600115407,0.002423542989036353
ary_Arab,0.1655071402416697,0.27436313229063136,0.3632369095569388
arz_Arab,0.16575237118687516,0.2779287362214817,0.4319405280697257
eng_Latn,0.6459978996392859,0.439614629468974,0.8318341628236153
grn_Latn,0.09906979398504823,0.2653084517491297,0.27209952633681445
hau_Latn,0.2870488153919542,0.49689934806805536,0.565034186675147
hun_Latn,0.23861693031209918,0.3387131252672082,0.3391406584010261
ory_Orya,0.003669724770642202,0.31605504587155964,0.009836901121304791
quy_Latn,0.03462334566894562,0.16245374145392963,0.127830395784984
swh_Latn,0.26748391339063454,0.38363627823963176,0.48865717908975626
ukr_Cyrl,0.18799854022209478,0.3128616860434805,0.3217767582503519
zho_Hans,,,
