language,bpe_byte_16k,bpe_parity_16k,o200k
amh_Ethi,3.990075014425851,2.5421811886901327,8.960761684939412
ary_Arab,2.7096301720981324,2.3143798713187214,2.0844797823926347
arz_Arab,2.6354268136375287,2.276236862342989,1.9365290951038194
eng_Latn,1.5342221816355417,2.0497694169216016,1.227021597187343
grn_Latn,3.3643782457341778,2.5165211436397876,2.7269873880043374
hau_Latn,2.163301001749086,1.741334075369693,1.6560661472412148
hun_Latn,2.871579734929457,2.4502992731936724,2.5763681060282173
ory_Orya,4.216666666666667,2.296788990825688,6.8277777777777775
quy_Latn,3.4597001818980115,2.71692905977545,3.083861255723515
swh_Latn,2.396223756516838,2.0817716405993143,1.8751585176835281
ukr_Cyrl,3.112246493926281,2.3942964391846098,2.4505500234607163
zho_Hans,18.235862735621073,21.072982116964717,16.21797970033833
