language,bpe_byte_32k,bpe_parity_32k,o200k
amh_Ethi,3.16399307559146,2.2646855164454704,8.960761684939412
ary_Arab,2.19574200972956,2.038342836219072,2.0844797823926347
arz_Arab,2.109510381953345,1.991335554985901,1.9365290951038194
eng_Latn,1.5263229989498197,1.8138897767225242,1.227021597187343
grn_Latn,2.7974091194430177,2.2378588141300004,2.7269873880043374
hau_Latn,1.7723008427412943,1.5294164414056288,1.6560661472412148
hun_Latn,2.3448589140658402,2.193351859769132,2.5763681060282173
ory_Orya,3.1065239551478085,2.011467889908257,6.8277777777777775
quy_Latn,2.820109138807,2.372012795584269,3.083861255723515
swh_Latn,1.915926917476868,1.8321356441688976,1.8751585176835281
ukr_Cyrl,2.4625410562535843,2.1623481570303946,2.4505500234607163
zho_Hans,15.48912518124698,18.366360560657323,16.21797970033833
