language,bpe_byte_16k,bpe_parity_16k,o200k
amh_Ethi,0.7100566899982645,0.4235291447248956,0.8785626891622126
ary_Arab,0.28976833976833977,0.21905795136063647,0.14921328013250018
arz_Arab,0.2842385806552019,0.2149421145096626,0.1413745631684846
eng_Latn,0.1398767893812684,0.16967388398823843,0.10471476947121647
grn_Latn,0.29551853987854937,0.177041522099009,0.18162603327403998
hau_Latn,0.1741087835354649,0.13893391165392077,0.1027364378300528
hun_Latn,0.21085738745277577,0.19053435114503817,0.14866518699827833
ory_Orya,0.4368978980067931,0.2320085214033686,0.848127440075843
quy_Latn,0.1792124442510606,0.17340012928248222,0.1460155391937518
swh_Latn,0.172899760868713,0.14940324436522798,0.09475503456567479
ukr_Cyrl,0.24537657464486734,0.19475231355470876,0.17253850736107565
zho_Hans,0.7817916777100451,0.862545871559633,0.721770227983907
