language,bpe_byte_32k,bpe_parity_32k,o200k
amh_Ethi,0.17212925562608195,0.3793421811886901,0.002423542989036353
ary_Arab,0.37260030339488415,0.4422241983574829,0.3632369095569388
arz_Arab,0.4019994873109459,0.4536785439630864,0.4319405280697257
eng_Latn,0.7067257202867449,0.5820738779051184,0.8318341628236153
grn_Latn,0.2667351480910803,0.4017006220396051,0.27209952633681445
hau_Latn,0.5625298139608841,0.6842502782636349,0.565034186675147
hun_Latn,0.40888200085506626,0.445382642154767,0.3391406584010261
ory_Orya,0.2284913353720693,0.4984199796126402,0.009836901121304791
quy_Latn,0.19833155616885154,0.30038261305902275,0.127830395784984
swh_Latn,0.5111079798976094,0.5515006340707341,0.48865717908975626
ukr_Cyrl,0.35269276888587664,0.42953964861060423,0.3217767582503519
zho_Hans,,,
