language,bpe_byte_32k,bpe_parity_32k,o200k
amh_Ethi,1.2916909833673766,1.8046220093255536,0.4560886084100715
ary_Arab,2.2741804840861444,2.4497908486668205,2.395568270220081
arz_Arab,2.313226073008312,2.450503334105713,2.519855977973102
eng_Latn,3.322992700729927,2.7961788249509136,4.1335541249581365
grn_Latn,2.371203002917236,2.9640944560616105,2.4324369572041435
hau_Latn,2.600192894311861,3.0131257472578885,2.7826932309169465
hun_Latn,2.7552932060077033,2.945616685346718,2.507706029994399
ory_Orya,1.9121246923707957,2.9530976814899277,0.8699845477415069
quy_Latn,2.8047418874135364,3.3345849750112384,2.564861896432494
swh_Latn,2.888777211217886,3.020893150123052,2.9515830077146576
ukr_Cyrl,2.4616378032773003,2.803380268106857,2.4736830908007827
zho_Hans,1.317408805816457,1.1110263157894738,1.2582029503799732
