language,bpe_byte_16k,bpe_parity_16k,o200k
amh_Ethi,0.09717253317945759,0.29186381996537797,0.002423542989036353
ary_Arab,0.24784223466025004,0.3472825234084846,0.3632369095569388
arz_Arab,0.2624455267880031,0.35637016149705203,0.4319405280697257
eng_Latn,0.7063604401625496,0.5077850326469111,0.8318341628236153
grn_Latn,0.17588312503566741,0.3291103121611596,0.27209952633681445
hau_Latn,0.40002385116870726,0.5967959930036572,0.565034186675147
hun_Latn,0.30894613082513894,0.3940786660966225,0.3391406584010261
ory_Orya,0.08302752293577982,0.412691131498471,0.009836901121304791
quy_Latn,0.08448849024650316,0.22078655209182713,0.127830395784984
swh_Latn,0.358085576065004,0.4706683575219576,0.48865717908975626
ukr_Cyrl,0.2683905948594964,0.37166988165371984,0.3217767582503519
zho_Hans,,,
