language,bpe_byte_8k,bpe_parity_8k,o200k
amh_Ethi,0.8085529019589935,1.3944047408107416,0.4560886084100715
ary_Arab,1.5163852397820596,1.8686698639522366,2.395568270220081
arz_Arab,1.5134361583717602,1.853445757794092,2.519855977973102
eng_Latn,3.0595769294331516,2.152732558139535,4.1335541249581365
grn_Latn,1.6469104665825978,2.2943034226836683,2.4324369572041435
hau_Latn,1.8492988976980873,2.2838708406390986,2.7826932309169465
hun_Latn,1.845090198711883,2.3183308723416496,2.507706029994399
ory_Orya,1.0364165088173305,2.238862741331284,0.8699845477415069
quy_Latn,1.9551007751937985,2.4922231664657404,2.564861896432494
swh_Latn,1.94752673244418,2.296832667381347,2.9515830077146576
ukr_Cyrl,1.5419186293231488,2.2246393448896034,2.4736830908007827
zho_Hans,0.8782268633120462,0.8320490333261071,1.2582029503799732
