language,bpe_byte_32k,bpe_parity_32k,o200k
amh_Ethi,0.5656003793405311,0.36634647234183504,0.8785626891622126
ary_Arab,0.1990184867543358,0.1828726871455334,0.14921328013250018
arz_Arab,0.18952024498128614,0.1779820292989367,0.1413745631684846
eng_Latn,0.1364724183319373,0.1458238936716508,0.10471476947121647
grn_Latn,0.2074705726351007,0.1526240628347019,0.18162603327403998
hau_Latn,0.1383455948322268,0.11826168321463845,0.1027364378300528
hun_Latn,0.1747840554276728,0.17072754739047805,0.14866518699827833
ory_Orya,0.30454470877768663,0.20043076143418218,0.848127440075843
quy_Latn,0.15575721180578725,0.15315863236110744,0.1460155391937518
swh_Latn,0.13608060404000785,0.1324856439704676,0.09475503456567479
ukr_Cyrl,0.19278485836473727,0.1806104735268589,0.17253850736107565
zho_Hans,0.6605610509564078,0.7843684210526316,0.721770227983907
